serial_no,joining_date,job_title,required_experience,Salary,Industary_Sector,Demanding_Of_the_Job,Overall_Satisfication,Working_model,Considering_Job_Switching_in_Future,Main_Reasons
40,01/01/2023,Photonics Engineer,Less than 2 years,47000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
41,03/07/2023,Software Quality Engineer,Less than 2 years,42500,Technology,Increasing,Neutral,On Site,Yes,Relocation/move to a different city
42,07/09/2023,Software Developer (Backend),Less than 2 years,42500,E-learning,Increasing,Neutral,Remote,Yes,Better salary/benefits
43,08/06/2023,EEE Engineer,Less than 2 years,42000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
44,02/06/2024,Software Quality Assurance Engineer,Fresh graduate,23000,Technology,Increasing,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
45,02/01/2022,Software Engineer,More than 2 years,75000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
46,04/08/2018,Software Engineer,More than 5 years,190000,Technology,Increasing,Very Satisfied,Remote,No,I am happy with my work role
47,11/12/2020,Software Engineer,More than 4 years,145000,Technology,Increasing,Satisfied,Remote,Yes,Better salary/benefits
48,01/11/2022,Graphic Designer,Less than 2 years,37000,Technology,Increasing,Neutral,Remote,No,I am happy with my work role
49,03/05/2023,Web Developer,Fresh graduate,18500,Technology,Increasing,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
50,04/04/2023,Web Developer,Fresh graduate,20000,Technology,Increasing,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
51,01/12/2022,Graphic Designer,Less than 2 years,24000,Manufacturer,Increasing,Neutral,On Site,Yes,Better salary/benefits
52,05/09/2023,Digital Marketing,Fresh graduate,7000,Human Resources Services,Increasing,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
53,05/09/2023,Junior Software Developer (Backend),Fresh graduate,15000,Technology,Increasing,Neutral,On Site,Yes,Career advancement opportunities
54,06/16/2022,Software Developer (Backend),Less than 2 years,60000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
55,08/07/2022,Software Quality Assurance Engineer,Fresh graduate,15000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
56,12/03/2023,Web Developer,More than 2 years,55000,Technology,Increasing,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
57,12/05/2021,Web Developer,More than 3 years,100000,TEchnology,Increasing,Neutral,Remote,Yes,Better salary/benefits
58,09/05/2023,Software Engineer (Backend),Less than 2 years,42500,Technology,Increasing,Neutral,On Site,Yes,Career advancement opportunities
59,11/08/2023,Software Developer (Backend),Fresh graduate,10000,Technology,Increasing,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
60,11/06/2022,Senior Software Engineer (Backend),Less than 2 years,65000,Technology,Increasing,Neutral,Remote,Yes,Seeking better work-life balance
61,02/02/2021,Software Engineer (Backend),Less than 2 years,37500,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
62,04/05/2022,Full Stack Developer,Less than 2 years,30000,Technology,Increasing,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
63,06/05/2023,Full Stack Developer,More than 2 years,80000,Technology,Increasing,Satisfied,Remote,Yes,Career advancement opportunities
64,07/04/2022,Web Developer,Less than 2 years,45000,Technology,Stable,Satisfied,On Site,Yes,Relocation/move to a different city
65,03/08/2023,Software Developer (Backend),Less than 2 years,50000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
66,09/07/2023,Software Quality Assurance Engineer,Fresh graduate,12000,Technology,Increasing,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
67,08/02/2022,Full Stack Developer,More than 3 years,50000,technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
68,04/09/2023,Full Stack Developer,Less than 2 years,27000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
69,06/08/2022,Senior Software Developer (Backend),Less than 2 years,40000,Technology,Stable,Neutral,Remote,Yes,Better salary/benefits
70,06/09/2022,Senior Software Developer (Backend),More than 3 years,70000,Technology,Increasing,Satisfied,Remote,Yes,Career advancement opportunities
71,07/04/2021,Database Administrator (DBA),More than 3 years,150000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
72,07/04/2022,Senior Software Developer (Backend),More than 4 years,145000,Technology,Increasing,Satisfied,On Site,Yes,"Career Development, Salary and Benefits"
73,05/04/2021,Web Developer,More than 3 years,75000,Technology,Stable,Satisfied,On Site,Yes,Better salary/benefits
74,04/06/2022,Web Developer,More than 2 years,100000,Technology,Increasing,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
75,02/01/2023,Graphic Designer,Less than 2 years,42500,Technology,increasing,Satisfied,On Site,Yes,Better salary/benefits
76,11/08/2022,DevOps Engineer,Less than 2 years,30000,E-learning,Decreasing,Dissatisfied,Remote,Yes,Better salary/benefits
77,09/07/2022,Digital Marketing,Less than 2 years,32000,Human Resources Services,Stable,Satisfied,On Site,Yes,Better salary/benefits
78,08/07/2023,Digital Marketing,Less than 2 years,80000,Human Resources Services,Stable,Satisfied,On Site,Yes,"Career Development, Salary and Benefits"
79,07/04/2022,Web Developer,More than 3 years,100000,Technology,Stable,Satisfied,On Site,Yes,Better salary/benefits
80,04/05/2023,Senior Software Developer (Backend),More than 3 years,55000,Technology,Increasing,Satisfied,On Site,Yes,Relocation/move to a different city
81,01/02/2022,Senior Software Developer (Frontend),More than 4 years,60000,Technology,increasing,Satisfied,On Site,Yes,Better salary/benefits
82,11/08/2021,Senior Software Developer (Frontend),More than 4 years,80000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
83,10/10/2022,Digital Marketing,Less than 2 years,35000,Technology,Increasing,Satisfied,Remote,No,I am happy with my work role
84,08/06/2023,Digital Marketing,Less than 2 years,34000,Technology,Increasing,Satisfied,Remote,No,I am happy with my work role
85,02/02/2022,Software Quality Assurance Engineer,Less than 2 years,32000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
86,08/08/2023,Digital Marketing,Less than 2 years,30000,Technology,increasing,Satisfied,On Site,Yes,Better salary/benefits
87,12/06/2020,Software Engineer (Frontend),More than 4 years,125000,Technology,increasing,Very Satisfied,Remote,No,I am happy with my work role
88,12/02/2021,Software Developer (Backend),More than 3 years,100000,Technology,Decreasing,Satisfied,Remote,Yes,"Career Development, Salary and Benefits"
89,01/03/2021,Artificial Intelligence (AI) Engineer,More than 4 years,175000,Technology,increasing,Satisfied,Remote,Yes,Better salary/benefits
90,03/09/2022,Database Administrator (DBA),More than 3 years,125000,Technology,Stable,Satisfied,Remote,Yes,Better salary/benefits
91,10/10/2022,Software Engineer (Backend),More than 3 years,100000,Technology,Stable,Satisfied,Remote,Yes,Better salary/benefits
92,05/09/2021,Software Engineer (Backend),More than 6 years,170000,Technology,increasing,Satisfied,Remote,No,I am happy with my work role
93,09/05/2022,Software Engineer (Backend),More than 3 years,100000,Technology,increasing,Satisfied,Remote,Yes,Seeking better work-life balance
94,11/09/2021,DevOps Engineer,More than 5 years,165000,Technology,increasing,Satisfied,Remote,Yes,Better salary/benefits
95,01/11/2022,Software Quality Assurance Engineer,More than 5 years,135000,Human Resources Services,Decreasing,Neutral,On Site,Yes,Better salary/benefits
96,01/02/2023,Software Engineer (Backend),Less than 2 years,40000,Technology,increasing,Satisfied,On Site,Yes,Better salary/benefits
97,01/01/2023,Software Engineer (Backend),More than 3 years,70000,Technology,increasing,Satisfied,On Site,Yes,Career advancement opportunities
98,01/01/2022,Software Developer (Frontend),Less than 2 years,55000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
99,01/01/2023,Web Developer,Fresh graduate,15000,Technology,Increasing,Satisfied,Remote,Yes,Career advancement opportunities
100,01/01/2022,Software Quality Assurance Engineer,More than 3 years,80000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
101,01/01/2022,Software Developer (Backend),More than 3 years,80000,Finance,Increasing,Satisfied,On Site,Yes,Better salary/benefits
102,01/02/2021,Web Developer,Fresh graduate,15000,Technology,Increasing,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
103,01/02/2024,Web Developer,Fresh graduate,20000,Technology,Increasing,Satisfied,On Site,Yes,"Career Development, Salary and Benefits"
104,01/02/2023,Software Quality Assurance Engineer,Less than 2 years,30000,Technology,Increasing,Dissatisfied,On Site,Yes,Better salary/benefits
105,01/02/2022,Software Engineer (Backend),Less than 2 years,50000,Technology,Increasing,Satisfied,Remote,No,I am happy with my work role
106,01/02/2023,Software Developer (Frontend),Fresh graduate,10000,Technology,Increasing,Satisfied,Remote,No,I am happy with my work role
107,02/01/2022,Junior Software Developer (Backend),Less than 2 years,40000,Technology,Increasing,Satisfied,On Site,Yes,"Career Development, Salary and Benefits"
108,01/02/2022,Senior Software Developer (Backend),More than 4 years,125000,Technology,Increasing,Satisfied,Remote,Yes,Better salary/benefits
109,01/02/2021,Artificial Intelligence (AI) Engineer,More than 3 years,75000,Technology,Increasing,Satisfied,On Site,Yes,"Career Development, Salary and Benefits"
110,01/02/2022,Software Developer (Backend),Less than 2 years,60000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
111,01/02/2023,Software Engineer (Backend),Fresh graduate,10000,Technology,Increasing,Neutral,On Site,No,I am happy with my work role
112,01/01/2023,Software Engineer (Backend),Fresh graduate,7000,Technology,Increasing,Neutral,On Site,No,I am happy with my work role
113,01/02/2022,Software Engineer (Backend),Less than 2 years,25000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
114,01/01/2022,Software Engineer (Backend),More than 3 years,100000,Technology,Increasing,Satisfied,Remote,Yes,"Career Development, Salary and Benefits"
115,01/02/2021,Software Engineer,More than 4 years,100000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
116,02/02/2023,Software Developer (Frontend),Less than 2 years,30000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
117,01/02/2022,Web Developer,Less than 2 years,60000,Technology,Increasing,Satisfied,On Site,Yes,"Career Development, Salary and Benefits"
118,01/02/2023,Software Developer (Frontend),Fresh graduate,26000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
119,01/02/2024,Software Developer (Frontend),Fresh graduate,20000,Technology,Increasing,Satisfied,On Site,Yes,Career advancement opportunities
120,01/02/2023,Cloud Engineer,Less than 2 years,38000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
121,01/01/2022,Digital Marketing,Less than 2 years,40000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
122,01/02/2022,Web Developer,Less than 2 years,35000,Technology,Increasing,Satisfied,Remote,Yes,Better salary/benefits
123,02/01/2022,Web Developer,Less than 2 years,38000,Technology,Increasing,Satisfied,Remote,Yes,"Career Development, Salary and Benefits"
124,02/01/2022,Junior Software Developer (Backend),Less than 2 years,80000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
125,01/01/2023,Software Developer (Frontend),Less than 2 years,50000,Technology,Increasing,Satisfied,On Site,Yes,"Career Development, Salary and Benefits"
126,01/02/2022,Full Stack Developer,Less than 2 years,60000,Technology,Increasing,Satisfied,Remote,Yes,Better salary/benefits
127,01/02/2023,Web Developer,More than 3 years,90000,Technology,Increasing,Satisfied,Remote,No,I am happy with my work role
128,01/02/2022,Senior Software Engineer (Backend),More than 2 years,80000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
129,01/02/2023,Software Developer (Frontend),More than 2 years,70000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
130,01/02/2020,Cloud Engineer,Less than 2 years,35000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
131,01/01/2020,Digital Marketing,Less than 2 years,40000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
132,01/02/2022,Software Quality Assurance Engineer,More than 2 years,42000,Technology,Increasing,Satisfied,On Site,Yes,"Career Development, Salary and Benefits"
133,01/02/2023,Senior Software Developer (Backend),Less than 2 years,80000,Technology,Increasing,Satisfied,On Site,Yes,"Career Development, Salary and Benefits"
134,01/02/2022,Senior Software Developer (Frontend),More than 6 years,155000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
135,01/02/2022,Web Developer,Less than 2 years,50000,Technology,Increasing,Satisfied,Remote,Yes,Better salary/benefits
136,01/03/2023,Software Developer (Frontend),Less than 2 years,60000,Technology,Increasing,Satisfied,Remote,Yes,Better salary/benefits
137,01/01/2023,DevOps Engineer,Less than 2 years,100000,Technology,Increasing,Satisfied,Remote,Yes,Relocation/move to a different city
138,01/02/2022,Software Developer (Frontend),Less than 2 years,35000,E-Commerce,Increasing,Neutral,On Site,Yes,Better salary/benefits
139,01/01/2022,Artificial Intelligence (AI) Engineer,More than 3 years,170000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
140,01/01/2022,Artificial Intelligence (AI) Engineer,Less than 2 years,60000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
141,01/02/2022,Software Engineer (Backend),More than 4 years,75000,Technology,Increasing,Dissatisfied,On Site,Yes,Better salary/benefits
142,01/02/2023,Software Engineer (Backend),Less than 2 years,100000,Technology,Increasing,Satisfied,Hybrid,Yes,"Career Development, Salary and Benefits"
143,01/02/2021,Full Stack Developer,More than 2 years,40000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
144,01/02/2022,Web Developer,Fresh graduate,15000,Technology,Increasing,Neutral,On Site,No,I am happy with my work role
145,01/02/2022,Software Developer (Frontend),More than 2 years,72000,E-Commerce,Increasing,Satisfied,Remote,Yes,Better salary/benefits
146,02/01/2022,Software Developer (Frontend),More than 2 years,48000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
147,01/02/2023,Software Engineer (Backend),More than 2 years,40000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
148,01/02/2022,Software Developer (Frontend),Less than 2 years,30000,Technology,Increasing,Satisfied,On Site,Yes,Career advancement opportunities
149,01/01/2020,Senior Software Engineer (Backend),More than 5 years,110000,NGO,Increasing,Satisfied,On Site,Yes,Better salary/benefits
150,01/02/2022,Junior Software Developer (Backend),Less than 2 years,25000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
151,01/02/2022,Digital Marketing,More than 2 years,37000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
152,01/02/2022,DevOps Engineer,Less than 2 years,90000,Technology,Increasing,Satisfied,Remote,No,I am happy with my work role
153,01/02/2023,Software Developer (Frontend),Less than 2 years,70000,Technology,Increasing,Satisfied,On Site,NO,I am happy with my work role
154,01/02/2023,Software Developer (Backend),More than 3 years,70000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
155,01/02/2022,Software Developer (Backend),Less than 2 years,50000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
156,01/02/2021,Senior Software Developer (Backend),More than 2 years,45000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
157,01/01/2023,Envato Specialist,More than 2 years,60000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
158,01/01/2023,Graphic Designer,Fresh graduate,15000,Digital Marketing,Increasing,Neutral,On Site,Yes,Better salary/benefits
159,01/01/2020,Senior Software Developer (Frontend),More than 6 years,160000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
160,01/02/2023,Software Engineer,More than 2 years,60000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
161,02/01/2023,Software Developer (Frontend),Less than 2 years,12000,Technology,Decreasing,Dissatisfied,On Site,Yes,Better salary/benefits
162,01/01/2022,IT Support Engineer,Less than 2 years,41000,Technology,Increasing,Satisfied,Remote,Yes,Better salary/benefits
163,01/02/2022,Software Developer (Frontend),More than 2 years,50000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
164,01/02/2022,Software Developer (Backend),More than 2 years,50000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
165,01/02/2023,Software Developer (Backend),Less than 2 years,100000,Technology,Increasing,Satisfied,Remote,Yes,Better salary/benefits
166,01/02/2023,Software Engineer (Backend),Less than 2 years,45000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
167,01/02/2022,Software Developer (Frontend),Less than 2 years,30000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
168,01/02/2022,Full Stack Developer,Less than 2 years,55000,Digital Marketing,Increasing,Satisfied,On Site,Yes,Better salary/benefits
169,01/02/2023,Software Developer (Frontend),Less than 2 years,62500,Digital Marketing,Increasing,Satisfied,On Site,Yes,Better salary/benefits
170,01/02/2022,Senior Software Developer (Backend),More than 5 years,115000,Technology,Not Sure,Satisfied,Remote,No,I am happy with my work role
171,01/01/2022,Cloud Engineer,More than 2 years,100000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
172,01/01/2023,Software Quality Assurance Engineer,More than 2 years,85000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
173,01/01/2022,Digital Marketing,Less than 2 years,40000,Technology,Increasing,Dissatisfied,On Site,Yes,Better salary/benefits
174,01/02/2021,Digital Marketing,Less than 2 years,70000,Technology,Increasing,Dissatisfied,On Site,Yes,Better salary/benefits
175,01/01/2023,Senior Software Developer (Backend),More than 3 years,80000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
176,01/02/2022,EEE Engineer,Less than 2 years,30000,Technology,Increasing,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
177,01/02/2022,Web Developer,Less than 2 years,32500,Technology,Decreasing,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
178,01/02/2022,Kernel Developer,Less than 2 years,20000,Technology,Not Sure,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
179,01/02/2021,IT Project Manager,More than 2 years,100000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
180,01/03/2023,Senior Software Engineer (Backend),More than 3 years,60000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
181,01/02/2022,Senior Software Developer (Frontend),More than 4 years,80000,Human Resources Services,Stable,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
182,01/03/2023,DevOps Engineer,More than 4 years,55000,Technology,Increasing,Satisfied,Remote,Yes,"Career Development, Salary and Benefits"
183,01/02/2021,IT Project Manager,More than 6 years,110000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
184,01/03/2023,Software Quality Assurance Engineer,Fresh graduate,8000,Technology,Increasing,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
185,01/01/2024,Software Developer (Backend),Fresh graduate,12000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
186,01/01/2022,Software Developer (Frontend),Less than 2 years,60000,Technology,Increasing,Satisfied,On Site,Yes,"Career Development, Salary and Benefits"
187,01/01/2023,Web Developer,Less than 2 years,50000,Technology,Stable,Neutral,On Site,Yes,Better salary/benefits
188,01/02/2021,Senior Software Engineer (Backend),More than 5 years,120000,E-Commerce,Increasing,Neutral,On Site,Yes,Better salary/benefits
189,01/02/2022,IT Support Engineer,Less than 2 years,28000,Technology,Not Sure,Satisfied,On Site,Yes,Better salary/benefits
190,01/01/2020,Software Developer (Backend),More than 7 years,125000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
191,01/01/2023,Software Engineer,Less than 2 years,27500,Technology,Increasing,Satisfied,On Site,Yes,"Career Development, Salary and Benefits"
192,01/01/2023,Senior Software Engineer (Frontend),More than 6 years,200000,Technology,Increasing,Satisfied,Remote,No,I am happy with my work role
193,01/02/2023,Junior Software Developer (Frontend),Less than 2 years,100000,Technology,Increasing,Satisfied,Remote,Yes,"Career Development, Salary and Benefits"
194,01/02/2022,Software Developer (Backend),Less than 2 years,35000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
195,01/02/2022,Senior Software Developer (Backend),More than 2 years,115000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
196,01/02/2021,Senior Software Developer (Frontend),More than 4 years,80000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
197,01/02/2022,Senior Software Engineer (Backend),More than 6 years,170000,Technology,Increasing,Satisfied,On Site,Yes,"Career Development, Salary and Benefits"
198,01/02/2023,Software Developer (Frontend),More than 2 years,40000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
199,01/02/2022,Software Developer (Frontend),More than 4 years,65000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
200,01/02/2021,Software Engineer (Backend),Less than 2 years,22000,Human Resources Services,Increasing,Satisfied,On Site,No,I am happy with my work role
201,01/02/2023,Software Developer (Backend),More than 3 years,105000,Travel and Tourism,Increasing,Satisfied,On Site,No,I am happy with my work role
202,01/02/2022,Senior Software Developer (Backend),More than 3 years,105000,Travel and Tourism,Increasing,Satisfied,On Site,No,I am happy with my work role
203,01/02/2022,DevOps Engineer,More than 4 years,55000,Technology,Increasing,Dissatisfied,On Site,Yes,Better salary/benefits
204,01/02/2021,Software Developer (Frontend),Less than 2 years,25000,Technology,Not Sure,Neutral,On Site,Yes,Better salary/benefits
205,01/02/2023,Full Stack Developer,More than 3 years,45000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
206,01/02/2024,IT Project Manager,More than 2 years,65000,E-Commerce,Increasing,Satisfied,Remote,Yes,Better salary/benefits
207,01/02/2022,IT Project Manager,More than 3 years,90000,E-Commerce,Increasing,Satisfied,Remote,Yes,"Career Development, Salary and Benefits"
208,01/02/2023,Software Engineer (Frontend),More than 3 years,80000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
209,01/02/2022,Software Developer (Backend),Less than 2 years,47500,Technology,Not Sure,Neutral,On Site,Yes,Better salary/benefits
210,01/02/2022,Full Stack Developer,More than 2 years,100000,Technology,Increasing,Satisfied,On Site,Yes,"Career Development, Salary and Benefits"
211,01/02/2023,Software Developer (Backend),More than 2 years,70000,Technology,Not Sure,Satisfied,On Site,Yes,Better salary/benefits
212,01/02/2023,Software Engineer (Backend),More than 3 years,90000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
213,01/02/2021,Senior Software Developer (Backend),More than 8 years,150000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
214,01/02/2022,Database Administrator (DBA),More than 3 years,100000,Technology,Increasing,Satisfied,Hybrid,No,I am happy with my work role
215,01/02/2023,Senior Software Engineer (Frontend),More than 4 years,200000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
216,01/02/2023,Software Engineer (Backend),More than 2 years,135000,Technology,Increasing,Satisfied,On Site,No,I am happy with my work role
217,01/02/2022,Software Engineer,More than 2 years,40000,Telecommunications,Increasing,Neutral,On Site,Yes,Better salary/benefits
218,01/02/2021,Software Developer (Frontend),Less than 2 years,32500,Technology,Not Sure,Neutral,On Site,Yes,Better salary/benefits
