joining_date,job_title,required_experience,Salary,Industary_Sector,Demanding_Of_the_Job,Overall_Satisfication,Working_model,Considering_Job_Switching_in_Future,Main_Reasons
6/1/2023,Data Scientist,Fresh graduate,20000 - 30000,Technology,Increasing,Dissatisfied,On Site,Yes,Better salary/benefits
6/1/2023,Software Engineer,More then 3 years,40000 - 50000,Technology,Stable,Neutral,On Site,Yes,Better salary/benefits
1/1/2022,jr. ML Engineer,Less than 2 years,30000 - 40000,Technology,Increasing,Satisfied,On Site,Yes,Career advancement opportunities
6/1/2019,Mobile App Developer,More then 4 years,200000-300000,Technology,Increasing,Satisfied,Remote,Yes,Seeking better work-life balance
1/1/2021,UI-UX Designer,More then 4 years,200000-300000,Technology,Increasing,Satisfied,Remote,No,I am happy with my work role
8/1/2023,Data Scientist,Less than 2 years,300000-400000,Technology,Increasing,Very satisfied,On Site,Yes,Seeking better work-life balance
1/1/2021,Junior Software Developer,More then 3 years,30000 - 40000,Technology,Stable,Satisfied,Remote,Yes,Better salary/benefits
3/1/2020,Junior Software Developer,More than 2 years,60000 - 70000,Technology,Stable,Satisfied,Remote,No,I am happy with my work role
2/1/2017,Senior Software Developer,More then 5 years,120000-200000,Technology,Stable,Satisfied,Remote,Yes,Better salary/benefits
1/16/2024,Junior Software Engineer,Fresh graduate,Less than 15000,Technology,Increasing,Dissatisfied,On Site,Yes,Better salary/benefits
6/3/2018,Data Analyst,More then 5 years,50000 - 60000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
3/1/2021,Cybersecurity Specialist,More then 3 years,30000 - 40000,Finance,Increasing,Dissatisfied,On Site,Yes,Dissatisfaction with previous job role/environment
7/1/2021,Sr. ML Engineer,More than 2 years,40000 - 50000,Finance,Increasing,Dissatisfied,On Site,Yes,Seeking better work-life balance
4/15/2024,Technical support,Fresh graduate,15000 - 20000,Technology,Decreasing,Dissatisfied,On Site,Yes,Career advancement opportunities
2/7/2024,Junior Software Developer,Fresh graduate,30000 - 40000,Technology,Stable,Neutral,Hybrid,Yes,Career advancement opportunities
1/1/2024,Research Assistant,Less than 1 years,15000 - 20000,Technology,Stable,Satisfied,Hybrid,Yes,Career advancement opportunities
9/12/2023,Graphics Designer,Less than 1 years,Less than 15000,Technology,Increasing,Satisfied,On Site,Yes,Career advancement opportunities
6/9/2023,Jr. SQA Engineer,Less than 1 years,20000 - 30000,Technology,Increasing,Satisfied,On Site,Yes,Career advancement opportunities
6/15/2023,Junior Software Developer,Fresh graduate,15000 - 20000,Technology,Stable,Satisfied,On Site,Yes,Better salary/benefits
6/17/2022,Junior Software Engineer,Less than 1 years,20000 - 30000,Technology,Stable,Satisfied,On Site,No,I am happy with my work role
5/15/2021,Senior Software Developer,More then 3 years,50000 - 60000,Technology,Stable,Very satisfied,On Site,No,I am happy with my work role
8/15/2023,Senior Software Engineer,More than 2 years,40000 - 50000,Technology,Stable,Satisfied,On Site,No,I am happy with my work role
2/11/2012,Senior Software Developer,More then 5 years,70000 - 80000,Technology,Increasing,Satisfied,Remote,Yes,Career advancement opportunities
10/12/2023,Junior Software Engineer,Less than 1 years,15000 - 20000,Technology,Stable,Neutral,On Site,Yes,Better salary/benefits
9/23/2020,Senior Software Engineer,More then 3 years,50000 - 60000,Technology,Increasing,Neutral,On Site,Yes,Career advancement opportunities
2/3/2023,Junior Software Engineer,More than 1 years,40000 - 50000,E-commerce,Increasing,Neutral,On Site,Yes,Career advancement opportunities
4/7/2022,Data Analyst,More than 2 years,30000 - 40000,E-commerce,Not sure,Dissatisfied,Hybrid,Yes,Seeking better work-life balance
2/3/2020,Cybersecurity Specialist,More then 5 years,90000 - 100000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
2/5/2021,jr. ML Engineer,More then 3 years,50000 - 60000,Technology,Increasing,Neutral,On Site,No,I am happy with my work role
4/4/2021,Junior Software Engineer,Less than 1 years,40000 - 50000,Technology,Stable,Neutral,Hybrid,Yes,Better salary/benefits
4/3/2022,Data Scientist,More than 1 years,30000 - 40000,Technology,Stable,Satisfied,On Site,Yes,Seeking better work-life balance
7/20/1998,Junior Software Developer,Fresh graduate,30000 - 40000,Technology,Stable,Satisfied,On Site,No,I am happy with my work role
12/6/2017,Cybersecurity Specialist,More then 5 years,90000 - 100000,Technology,Increasing,Satisfied,Hybrid,Yes,Career advancement opportunities
4/1/2020,CEO,More then 5 years,500000-100000,Technology,Stable,Very satisfied,Hybrid,No,I am happy with my work role
3/7/2024,jr. ML Engineer,Fresh graduate,40000 - 50000,Technology,Increasing,Neutral,Remote,Yes,Seeking better work-life balance
4/1/2020,Sr. ML Engineer,More then 3 years,60000 - 70000,Technology,Increasing,Satisfied,Remote,Yes,Better salary/benefits
8/6/2015,Cybersecurity Specialist,More then 5 years,100000 -120000,Technology,Stable,Satisfied,Hybrid,No,I am happy with my work role
10/12/2021,Junior Software Engineer,More than 2 years,50000 - 60000,Technology,Increasing,Neutral,Hybrid,Yes,Career advancement opportunities
9/3/2023,Junior Software Developer,Less than 1 years,15000 - 20000,Technology,Increasing,Dissatisfied,Remote,Yes,Better salary/benefits
4/16/2024,UI/UX Designer,More then 3 years,40000 - 50000,Technology,Increasing,Very satisfied,On Site,Yes,Seeking better work-life balance
3/3/2019,UI/UX Designer,More then 3 years,40000 - 50000,Technology,Increasing,Very satisfied,On Site,Yes,Seeking better work-life balance
9/21/2022,Senior Software Engineer,More than 2 years,50000 - 60000,Technology,Increasing,Neutral,On Site,Yes,Dissatisfaction with previous job role/environment
1/1/2024,Research Assistant,Fresh graduate,10000,Healthcare,Increasing,Satisfied,Hybrid,Yes,Career advancement opportunities
7/2/2022,Lab Instructor,Less than 2 years,20000 - 30000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
1/8/2020,Sr. ML Engineer,More then 3 years,60000 - 70000,Technology,Increasing,Satisfied,Hybrid,Yes,Seeking better work-life balance
8/1/2022,Senior Software Engineer,More then 4 years,60000 - 70000,E-commerce,Stable,Satisfied,On Site,Yes,Relocation/move to a different city
1/2/2022,Cybersecurity Specialist,Less than 1 years,50000 - 60000,Finance,Increasing,Satisfied,On Site,No,I am happy with my work role
1/6/2021,Sr. ML Engineer,More than 2 years,70000 - 80000,Finance,Increasing,Satisfied,On Site,No,I am happy with my work role
1/2/2023,Senior Software Engineer,More then 4 years,70000 - 80000,Finance,Increasing,Very satisfied,Hybrid,No,I am happy with my work role
1/2/2022,Sr. ML Engineer,More than 2 years,30000 - 40000,Healthcare,Increasing,Very satisfied,Remote,Yes,Relocation/move to a different city
2/2/2019,Junior Software Engineer,More then 5 years,70000 - 80000,Finance,Increasing,Very satisfied,On Site,Yes,Career advancement opportunities
10/2/2021,Senior Software Engineer,More then 4 years,50000 - 60000,E-commerce,Increasing,Satisfied,On Site,Yes,Better salary/benefits
1/22/2023,Senior Software Engineer,More then 3 years,50000 - 60000,E-commerce,Increasing,Very satisfied,On Site,No,I am happy with my work role
8/1/2019,Senior Software Engineer,More than 7 years,100000 -120000,E-commerce,Increasing,Very satisfied,On Site,No,I am happy with my work role
7/3/2022,Senior Software Engineer,More then 3 years,40000 - 50000,Technology,Increasing,Dissatisfied,On Site,Yes,Better salary/benefits
1/15/2023,Junior Software Engineer,Less than 1 years,15000 - 20000,E-commerce,Stable,Very dissatisfied,On Site,Yes,Dissatisfaction with previous job role/environment
2/1/2022,Data Analyst,More than 1 years,20000 - 30000,E-commerce,Stable,Very dissatisfied,On Site,Yes,Better salary/benefits
8/1/2023,jr. ML Engineer,Fresh graduate,20000 - 30000,Technology,Increasing,Dissatisfied,On Site,No,I am happy with my work role
10/1/2021,Data Analyst,More then 4 years,30000 - 40000,E-commerce,Stable,Neutral,On Site,Yes,Better salary/benefits
8/1/2023,Data Analyst,Fresh graduate,15000 - 20000,E-commerce,Stable,Very dissatisfied,On Site,Yes,Better salary/benefits
2/1/2022,Cybersecurity Specialist,Less than 1 years,30000 - 40000,Finance,Increasing,Neutral,Hybrid,Yes,Better salary/benefits
5/1/2023,Junior Software Developer,Fresh graduate,15000 - 20000,E-commerce,Stable,Dissatisfied,Hybrid,Yes,Better salary/benefits
7/1/2018,Senior Software Engineer,More then 4 years,30000 - 40000,E-commerce,Stable,Very dissatisfied,On Site,Yes,Better salary/benefits
4/3/2022,Data Analyst,More than 2 years,80000 - 90000,Technology,Increasing,Satisfied,Remote,Yes,Career advancement opportunities
12/8/2022,Senior Software Engineer,More then 4 years,100000 -120000,Technology,Increasing,Very satisfied,Remote,Yes,Relocation/move to a different city
5/1/2023,Junior Software Developer,Fresh graduate,Less than 15000,E-commerce,Stable,Very dissatisfied,On Site,Yes,Better salary/benefits
3/1/2021,Data Scientist,More then 4 years,100000 -120000,Finance,Stable,Satisfied,Remote,No,I am happy with my work role
9/4/2021,Data Scientist,Less than 2 years,40000 - 50000,Technology,Stable,Satisfied,On Site,Yes,Career advancement opportunities
9/1/2022,Data Scientist,Less than 2 years,30000 - 40000,Technology,Increasing,Very dissatisfied,On Site,Yes,Better salary/benefits
1/1/2024,Data Analyst,More than 1 years,30000 - 40000,E-commerce,Stable,Satisfied,On Site,Yes,Better salary/benefits
2/1/2022,Senior Software Developer,More than 2 years,70000 - 80000,E-commerce,Not sure,Neutral,Remote,No,I am happy with my work role
3/1/2017,Sr. ML Engineer,More then 5 years,90000 - 100000,Technology,Increasing,Satisfied,Remote,No,I am happy with my work role
5/31/2022,Senior Software Developer,More than 2 years,60000 - 70000,Technology,Increasing,Neutral,Remote,No,I am happy with my work role
6/1/2015,Senior Software Engineer,More than 10 years,100000 -120000,Technology,Increasing,Very satisfied,Remote,No,I am happy with my work role
11/5/2015,Senior Software Engineer,More than 10 years,100000 -120000,Technology,Increasing,Very satisfied,Remote,No,I am happy with my work role
1/1/2019,Senior Software Engineer,More then 5 years,80000 - 90000,E-commerce,Increasing,Neutral,Remote,No,I am happy with my work role
6/1/2022,Senior Software Engineer,More then 5 years,70000 - 80000,E-commerce,Not sure,Dissatisfied,On Site,Yes,Better salary/benefits
10/13/2015,Sr. ML Engineer,More then 5 years,100000 -120000,Technology,Increasing,Satisfied,Remote,No,I am happy with my work role
3/1/2018,Senior Software Engineer,More than 7 years,100000 -120000,E-commerce,Stable,Very satisfied,Remote,No,I am happy with my work role
11/2/2020,Senior Software Developer,More then 3 years,40000 - 50000,E-commerce,Stable,Neutral,On Site,No,I am happy with my work role
11/11/2018,Senior Software Engineer,More then 5 years,70000 - 80000,Healthcare,Increasing,Satisfied,On Site,No,I am happy with my work role
1/1/2021,Senior Software Engineer,More then 4 years,50000 - 60000,Healthcare,Stable,Neutral,On Site,Yes,Better salary/benefits
11/1/2019,Sr. ML Engineer,More then 4 years,80000 - 90000,Finance,Increasing,Very satisfied,On Site,No,I am happy with my work role
1/1/2018,Senior Software Engineer,More then 5 years,90000 - 100000,Finance,Stable,Satisfied,On Site,No,I am happy with my work role
2/2/2023,jr. ML Engineer,Less than 1 years,20000 - 30000,Finance,Increasing,Neutral,On Site,Yes,Better salary/benefits
1/1/2021,Data Analyst,More then 3 years,40000 - 50000,Finance,Stable,Satisfied,Hybrid,No,I am happy with my work role
1/1/2016,Senior Software Engineer,More than 8 years,100000 -120000,Technology,Increasing,Very satisfied,Remote,No,I am happy with my work role
1/2/2020,Senior Software Engineer,More then 5 years,60000 - 70000,Finance,Stable,Satisfied,On Site,No,I am happy with my work role
11/1/2022,Cybersecurity Specialist,Less than 2 years,30000 - 40000,Finance,Stable,Neutral,On Site,Yes,Better salary/benefits
6/14/2018,Data Scientist,More then 4 years,60000 - 70000,Technology,Increasing,Neutral,Remote,No,I am happy with my work role
1/4/2024,Data Scientist,Fresh graduate,30000 - 40000,Technology,Increasing,Neutral,On Site,Yes,Career advancement opportunities
1/1/2022,Software Engineer,More than 2 years,40000 - 50000,Technology,Stable,Dissatisfied,On Site,Yes,Better salary/benefits
4/11/2022,Data Scientist,Less than 1 years,20000 - 30000,Technology,Stable,Neutral,Remote,Yes,Better salary/benefits
1/2/2023,Junior Software Developer,Less than 1 years,30000 - 40000,Finance,Increasing,Neutral,Remote,Yes,Relocation/move to a different city
7/17/2021,Cybersecurity Specialist,More then 4 years,70000 - 80000,Technology,Stable,Satisfied,Hybrid,Yes,Better salary/benefits
5/19/2022,Cybersecurity Specialist,More than 2 years,40000 - 50000,Technology,Increasing,Neutral,Remote,Yes,Better salary/benefits
1/2/2019,Software Engineer,More then 4 years,30000 - 40000,E-commerce,Not sure,Very dissatisfied,On Site,Yes,Dissatisfaction with previous job role/environment
8/8/2017,Cybersecurity Specialist,More then 5 years,100000 -120000,Technology,Increasing,Satisfied,Hybrid,No,I am happy with my work role
4/15/2021,Cybersecurity Specialist,More than 2 years,90000 - 100000,Technology,Increasing,Satisfied,Hybrid,No,I am happy with my work role
1/17/2024,Junior Software Engineer,Less than 1 years,50000 - 60000,Technology,Stable,Satisfied,On Site,Yes,Better salary/benefits
3/1/2018,Senior Software Engineer,More then 5 years,50000 - 60000,Technology,Stable,Neutral,On Site,Yes,Better salary/benefits
3/1/2023,Senior Software Engineer,More then 5 years,50000 - 60000,Technology,Stable,Very satisfied,On Site,Yes,Career advancement opportunities
4/15/2023,Senior Software Developer,More then 4 years,40000 - 50000,Healthcare,Increasing,Neutral,Hybrid,Yes,Better salary/benefits
10/1/2022,Sr. ML Engineer,More than 2 years,50000 - 60000,Technology,Increasing,Very satisfied,On Site,Yes,Career advancement opportunities
3/1/2016,CEO,More than 10 years,1500000-2000000,Technology,Stable,Very satisfied,Hybrid,No,I am happy with my work role
2/1/2023,Junior Software Engineer,Fresh graduate,20000 - 30000,Technology,Stable,Satisfied,Hybrid,No,I am happy with my work role
6/1/2021,Data Scientist,Less than 2 years,40000 - 50000,Finance,Increasing,Satisfied,Remote,No,I am happy with my work role
1/1/2020,Senior Software Engineer,More then 5 years,100000 -120000,Technology,Stable,Satisfied,On Site,No,I am happy with my work role
7/1/2021,Cybersecurity Specialist,More then 4 years,40000 - 50000,Finance,Not sure,Dissatisfied,On Site,Yes,Better salary/benefits
1/1/2024,Junior Software Developer,Fresh graduate,80000 - 90000,Technology,Decreasing,Neutral,On Site,Yes,Better salary/benefits
